1 U+4FF4	俴	32(1534|1543)\1
121 U+81E0	臠^	(1|4)111251(554234|554444)\2253434
122 U+8219	舙	(112251|312251)\1\1
123 U+83DA	菚	(122|1212|2112)(1534|1543)\2
124 U+83EF	華^	(122|1212|2112)1\1112
125 U+83FB	菻	(122|1212|2112)(1234|1235)\2
126 U+8420	萠	(122|1212|2112)(3511|3544)\2
127 U+84AF	蒯	(122|1212|2112)(3511|3544)\222
128 U+84BB	蒻	(122|1212|2112)(51533|51541)\2
129 U+8534	蔴	(122|1212|2112)413(1234|1235)\2
130 U+85E3	藣	(122|1212|2112)2522154(2511|3511|3541)(15|35|53)\3
131 U+85E6	藦	(122|1212|2112)413(1234|1235)\23112
132 U+8611	蘑	(122|1212|2112)413(1234|1235)\213251
133 U+863C	蘼	(122|1212|2112)413(1234|1235)\2(2|3)1112111
134 U+864A	虊	(122|1212|2112)(1|4)111251(554234|554444)\31234
135 U+8665	虥	21531535(1534|1543)\1
136 U+8666	虦	(1534|1543)\121531535
137 U+879A	螚	54(2511|3511|3541)(15|35|53)\2251214
138 U+883B	蠻^	(1|4)111251(554234|554444)\2251214
139 U+8926	褦	4523454(2511|3511|3541)(15|35|53)\2
140 U+896C	襬^	452342522154(2511|3511|3541)(15|35|53)\2
141 U+8AA9	誩	(1111251|4111251)\1
142 U+8AD3	諓^	(1|4)111251(1534|1543)\2
143 U+8B41	譁^	(1|4)111251(122|1212|2112)1\2112
144 U+8B6B	譫^	(1111251|4111251)3513(34|35)\1
145 U+8B71	譱	431112(1111251|4111251)\1
146 U+8B76	譶	(1111251|4111251)\1\1
147 U+8B8A	變^	(1|4)111251(554234|554444)\23134
148 U+8B9F	讟	(1111251|4111251)121(25221|25351)2511134\1
149 U+8CE4	賤^	2511134(1534|1543)\1
150 U+8DD0	跐	251(215|2121)\1(15|35|53)
151 U+8E10	踐^	251(215|2121)(1534|1543)\2
152 U+8E66	蹦	251(215|2121)252(3511|3544)\2
153 U+8EA8	躨	251(215|2121)431325111\1515(34|35)354
154 U+8F1A	輚	1251112(1534|1543)\1
155 U+8F23	輣	1251112(3511|3544)\1
156 U+8F61	轡^	1251112(554234|554444)\1251
157 U+9186	醆	1253511(1534|1543)\1
158 U+91BE	醾	1253511413(1234|1235)\1431234
159 U+91BF	醿	1253511413(1234|1235)\1554234
160 U+91C4	釄	1253511413(1234|1235)\1(2|3)1112111
161 U+930B	錋	34112431(3511|3544)\1
162 U+9322	錢^	34112431(1534|1543)\1
163 U+93F0	鏰^	34112431252(3511|3544)\1
164 U+93F5	鏵^	34112431(122|1212|2112)1\1112
165 U+947E	鑾^	(1|4)111251(554234|554444)\234112431
166 U+9750	靐	(1252111125121|1252413425121|1252444425121|1452111125121|1452413425121|1452444425121)\1\1
167 U+9761	靡	413(1234|1235)\1(2|3)1112111
168 U+97BE	鞾^	122125112(122|1212|2112)1\1112
169 U+97E1	韡	521251152(122|1212|2112)1\1112
170 U+98CD	飍	(351251214|353251214)\1\1
171 U+98DD	飝	(534332534|534335342)\1\1
172 U+991E	餞^	34(1|4)(51154|511211)(1534|1543)\3
173 U+995D	饝	34(1|4)(51154|511211)413(1234|1235)\313251
174 U+99A2	馢	312342511(1534|1543)\1
175 U+9A33	騳	(1211254444|2111254444)\1
176 U+9A4A	驊^	(12|21)11254444(122|1212|2112)1\2112
177 U+9A63	驣	(1211254444|2111254444)(34|43)1134\1
178 U+9A6B	驫^	(1211254444|2111254444)\1\1
179 U+9ACD	髍	25(5|12|21)45(2511|3511|3541)413(1234|1235)\3
180 U+9AD3	髓	25(5|12|21)45(2511|3511|3541)13121\2(454|4454|4554)
181 U+9B05	鬅	(12|21)11154333(3511|3544)\2
182 U+9B54	魔	413(1234|1235)\13251(|2)13554
183 U+9C2F	鰯	35251214444(51533|51541)\1
184 U+9D6C	鵬^	(3511|3544)\132511154444
185 U+9DB8	鶸	(51533|51541)\132511154444
186 U+9DE8	鷨	(122|1212|2112)1\111232511154444
187 U+9E1E	鸞^	(1|4)111251(554234|554444)\232511154444
188 U+9EA4	麤	(41352211515|41352211535|41352211553|41352213535|41352215353)\1\1
189 U+9EBB	麻	413(1234|1235)\1
190 U+9EBC	麼^	413(1234|1235)\1554
191 U+9EBD	麽	413(1234|1235)\1354
192 U+9EBE	麾	413(1234|1235)\13115
193 U+9EBF	麿	413(1234|1235)\1251(|3)251
194 U+9EC0	黀	413(1234|1235)\112211154
195 U+9EC1	黁	413(1234|1235)\1312342511
196 U+9EC2	黂	413(1234|1235)\112(122|1212)2511134
197 U+9F96	龖	(4143125111515111|4143135111515111|4143135411515111)\1
198 U+9F98	龘	(4143125111515111|4143135111515111|4143135411515111)\1\1
199 U+9FB3	龳	(12134121|12135121)\1
200 U+9FBB	龻	(1|4)111251(554234|554444)\2
201 U+3477	㑷^	3254(2511|3511|3541)(15|35|53)\2
202 U+34AF	㒯	243135(122|1212|2112)1\1112
203 U+34B9	㒹^	(1225111134|1325111134|1525111534|3525111534|5325111534)\1
204 U+3525	㔥	2522154(2511|3511|3541)(15|35|53)\253
205 U+352E	㔮	1221251113454(2511|3511|3541)(15|35|53)\2
206 U+3618	㘘	(1|4)111251(554234|554444)\2251
207 U+373B	㜻^	531(1|4)111251(554234|554444)\24544
208 U+3748	㝈^	(1|4)111251(554234|554444)\2521521
209 U+37DE	㟞	252(1534|1543)\1
210 U+380F	㠏^	252(122|1212|2112)1\1112
211 U+3827	㠧	252413(1234|1235)\1(2|3)1112111
212 U+3869	㡩	(1|4)111251(554234|554444)\2252
213 U+38E4	㣤	332(1534|1543)\1
214 U+3947	㥇	(244|424|442)(1534|1543)\2
215 U+394A	㥊	(244|424|442)(3511|3544)\2
216 U+3984	㦄	413(1234|1235)\14544
217 U+398A	㦊	(244|424|442)(122|1212|2112)1\2112
218 U+3A22	㨢	12154(2511|3511|3541)(15|35|53)\2
219 U+3A94	㪔	(1234|1235)\12154
220 U+3ABB	㪻	(1|4)111251(554234|554444)\24412
221 U+3C04	㰄	12342511134(1534|1543)\1
222 U+3C4D	㱍	(554234|554444)(1|4)111251\13534
223 U+3D30	㴰	44154(2511|3511|3541)(15|35|53)\2
224 U+3D9C	㶜^	441(513431132|51331133112)\122
225 U+3E0F	㸏	413(1234|1235)\1(2|3)11121114334
226 U+3E7D	㹽	(353|533)(1534|1543)\2
227 U+3EDA	㻚	1121(3511|3544)\1
228 U+3F4B	㽋	(1|4)111251(554234|554444)\21(5|21)54
229 U+3F70	㽰	(3511|3544)\152134
230 U+4085	䂅	25111(1|4)111251(554234|554444)\2251214
231 U+40FA	䃺	13251413(1234|1235)\1(2|3)1112111
232 U+417F	䅿	31234(122|1212|2112)1\1112
233 U+4189	䆉	312342522154(2511|3511|3541)(15|35|53)\2
234 U+4254	䉔	3143141354(1534|1543)\1
235 U+42B3	䊳	431234413(1234|1235)\1(2|3)1112111
236 U+4315	䌕	(554234|554444)413(1234|1235)\2
237 U+4392	䎒	(533533|541541)(1534|1543)\2
238 U+43B1	䎱^	(1|3)112342522154(2511|3511|3541)(15|35|53)\3
239 U+43FC	䏼	(3511|3541)(1534|1543)\2
240 U+441E	䐞	(3511|3541)(51533|51541)\2
241 U+4449	䑉	(3511|3541)415251531\1(254|354)
242 U+4510	䔐	(122|1212|2112)441(1534|1543)\2
243 U+4577	䕷	(122|1212|2112)413(1234|1235)\2554234
244 U+4582	䖂	(122|1212|2112)(1|4)111251(554234|554444)\33112
245 U+4583	䖃	(12213251|121213251|211213251)\1\1
246 U+45C3	䗃	251214(1534|1543)\1
247 U+45EB	䗫	251214413(1234|1235)\1
248 U+4605	䘅	54(2511|3511|3541)(15|35|53)\2251214251214
249 U+460E	䘎	251214(1|4)111251(554234|554444)\2515
250 U+4640	䙀	45234(3511|3544)\1
251 U+4641	䙁	45234(1534|1543)\1
252 U+4656	䙖	45234252(3511|3544)\1
253 U+46A5	䚥	3535(112|121)(51533|51541)\2
254 U+4706	䜆	413(1234|1235)\1(1|4)111251
255 U+470C	䜌	(554234|554444)(1|4)111251\1
256 U+4815	䠕	251(215|2121)\1(15|35|53)1234
257 U+48D9	䣙	252(3511|3544)\1(52|552)
258 U+496F	䥯	341124312522154(2511|3511|3541)(15|35|53)\2
259 U+49D6	䧖	(52|552)(1534|1543)\2
260 U+4A1C	䨜	1(25|45)2(1111|4134|4444)(3511|3544)\3
261 U+4A3A	䨺	(125211111154|125241341154|125244441154|145211111154|145241341154|145244441154)\1\1
262 U+4A3B	䨻	(1252111125121|1252413425121|1252444425121|1452111125121|1452413425121|1452444425121)\1\1\1
263 U+4A4B	䩋	132522111413(1234|1235)\1
264 U+4B15	䬕	(351251214|353251214)\1
265 U+4B43	䭃	34(1|4)(51154|511211)34\154544
266 U+4B65	䭥	34(1|4)(51154|511211)4311(|2)134\1511534
267 U+4B67	䭧	34(1|4)(51154|511211)413(1234|1235)\3554234
268 U+4B69	䭩	34(1|4)(51154|511211)413(1234|1235)\3(2|3)1112111
269 U+4BC2	䯂	(1211254444|2111254444)\1\11234
270 U+4BDA	䯚	25(5|12|21)45(2511|3511|3541)554\2
271 U+4BDD	䯝	25(5|12|21)45(2511|3511|3541)13121\2
272 U+4BDE	䯞	25(5|12|21)45(2511|3511|3541)25\125251
273 U+4BE2	䯢	413(1234|1235)\125(5|12|21)45(2511|3511|3541)
274 U+4C60	䱠	35251214444(1534|1543)\1
275 U+4C88	䲈	35251214444413(1234|1235)\1
276 U+4CF8	䳸	413(1234|1235)\132511154444
277 U+4D3C	䴼	12343434354(1534|1543)\1
278 U+4D47	䵇	413(1234|1235)\13134
279 U+4D48	䵈	332554354413(1234|1235)\1
280 U+4D49	䵉	413(1234|1235)\1341(2|3)5(1122|1155|4455)
281 U+20E4C	𠹌	25154(2511|3511|3541)(15|35|53)\2
282 U+22EB3	𢺳	121(1|4)111251(554234|554444)\2251214
283 U+28D99	𨶙	2511251154(2511|3511|3541)(15|35|53)\2
